0|1|2
Днинедели|гр. 24101направление 09.03.01|гр. 24101направление 09.03.01
Понедельник04.04|8.15|Математика практика доц. Батурина Р.В. (206)
Понедельник04.04|9.55|Иностранный язык практика доц. Мочелевская Е.В. (202)
Понедельник04.04||
Вторник05.04|8.15|Введение в профессиональную деятельность лекция ст.пр. Шамсутдинов Р.С. (209)
Вторник05.04|9.55|Физика лаб.раб ст.пр. Шамсутдинов Р.С. (209)
Вторник05.04||
Среда06.04||
Среда06.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)
Среда06.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек
Четверг07.04||День для консультаций по самостоятельной работе, посещения библиотек
Пятница08.04|8.15|Математика лекция доц. Батурина Р.В. (206)
Пятница08.04|9.55|Математика практика доц. Батурина Р.В. (206)
Пятница08.04||
Суббота09.04||
Суббота09.04|13.50|Тотальный диктант-2022 (206)
