0|1|2
Днинедели|гр. 24101направление 09.03.01|гр. 24101направление 09.03.01
Понедельник11.04||
Понедельник11.04|17.30|Программирование на языках высокого уровня лекция доц. Сайфудинов И.Р. (212)
Понедельник11.04|19.00|Программирование на языках высокого уровня лекция доц. Сайфудинов И.Р. (212)
Вторник12.04|8.15|Философия лекция доц. Ильин А.Н. (105)
Вторник12.04|9.55|Философия лекция доц. Ильин А.Н. (105)
Вторник12.04|12.10|Физика лекция ст.пр. Шамсутдинов Р.С. (105)
Среда13.04|8.15|Математика практика доц. Батурина Р.В. (203)
Среда13.04|9.55|Иностранный язык практика доц. Мочелевская Е.В. (202)
Среда13.04||
Четверг14.04|9.55|Физика лаб.раб ст.пр. Шамсутдинов Р.С. (209)
Четверг14.04|12.10|Математика лекция доц. Батурина Р.В. (203)
Четверг14.04|13.50|Математика практика доц. Батурина Р.В. (203)
Пятница15.04||
Пятница15.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)
Пятница15.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек
Суббота16.04||День для консультаций по самостоятельной работе, посещения библиотек
