0|1|2|3|4|5|6|7|8
Днинедели|гр. 24102направление 15.03.05|гр. 24102направление 15.03.05|гр. 24202направление 15.03.05|гр. 24202направление 15.03.05|гр. 24302направление 15.03.05|гр. 24302направление 15.03.05|гр. 24402направление 15.03.05|гр. 24402направление 15.03.05
Понедельник04.04|8.15|Иностранный язык практика доц. Мочелевская Е.В. (105)|9.55||9.55||15.30|Технология машиностроения практика ст.пр. Ларионов Д.Н. (211)
Понедельник04.04|9.55|Математика практика доц. Батурина Р.В. (105)|12.10|Иностранный язык практика доц. Мочелевская Е.В. (202)|12.10|Основы технологии машиностроения лаб.раб.ст.пр. Ларионов Д.Н. (211)|17.05|Оборудование автоматизированных производств лаб.раб. доц. Сарачева Д.А. (207)
Понедельник04.04|11.30|Кураторский час (библиотека) доц. Балова Н.А.|13.50|Личностное развитие лекцияст.пр. Ахтямова З.А. (201)|13.50|Экономика машиностроительного производства лекция доц. Кабитова Е.В. (204)|18.40|Оборудование автоматизированных производств практика доц. Сарачева Д.А. (207)
Понедельник04.04|12.10|Физика лаб.раб. ст.пр. Шамсутдинов Р.С. (209)||||||
Вторник05.04||||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник05.04|15.30|Теоретическая механика лекциядоц. Шипилова О.А. (115)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник05.04|17.05|Теоретическая механика практикадоц. Шипилова О.А. (115)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда06.04||||||||
Среда06.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|9.55|ЗАЩИТА КУРСОВОГО ПРОЕКТА Технология машиностроения ст.пр. Ларионов Д.Н. (211)
Среда06.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||
Четверг07.04|9.55||||8.15|Металлообрабатывающие станки лекция доц. Емельянов Д.В. (204)||
Четверг07.04|12.10|Иностранный язык практика доц. Мочелевская Е.В. (105)|15.30|Теория механизмов и машин лекциядоц. Шипилова О.А. (115)|9.55|Металлообрабатывающие станки лаб.раб. доц. Емельянов Д.В. (204)|15.30|
Четверг07.04|13.50|Математика лекция доц. Батурина Р.В. (105)|17.05|Теория механизмов и машин лаб.раб.доц. Шипилова О.А. (115)|||17.05|Обработка на станках с числовым программным управлением лаб.раб.ст.пр. Ахмадиев А.И. (210)
Четверг07.04|15.30|Математика практика доц. Батурина Р.В. (105)|||||18.40|ЗАЩИТА КУРСОВОЙ РАБОТЫ Обработка на станках с числовым программным управлением ст.пр. Ахмадиев А.И. (210)
Пятница08.04|8.15||9.55||9.55|||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|9.55||12.10|Личностное развитие практикаст.пр. Ахтямова З.А. (201)|12.10|Формообразущий инструмент лекциядоц. Савин И.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|12.10|Физика практика ст.пр. Шамсутдинов Р.С. (105)|13.50|Экономика предприятий и цифровое производство лекция доц. Кабитова Е.В. (204)|13.50|Формообразущий инструмент лаб. раб.доц. Савин И.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница08.04|13.50|Личностное развитие лекцияст.пр. Ахтямова З.А. (105)|15.30||15.30|Нормирование точности практикадоц. Савин И.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота09.04||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота09.04|13.50|Тотальный диктант-2022 (206)|13.50|Тотальный диктант-2022 (206)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
