0|1|2|3|4|5|6|7|8
Днинедели|гр. 24102направление 15.03.05|гр. 24102направление 15.03.05|гр. 24202направление 15.03.05|гр. 24202направление 15.03.05|гр. 24302направление 15.03.05|гр. 24302направление 15.03.05|гр. 24402направление 15.03.05|гр. 24402направление 15.03.05
Понедельник11.04||||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник11.04|15.30|Теоретическая механика лекциядоц. Шипилова О.А. (115)|12.10|Правоведение лекция доц. Минкин М.Р. (105)|12.10|Основы технологии машиностроения лекцияст.пр. Ларионов Д.Н. (211)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник11.04|17.05|Теоретическая механика практикадоц. Шипилова О.А. (115)|13.50|Правоведение практика доц. Минкин М.Р. (105)|13.50|Основы технологии машиностроения лаб.раб. ст.пр. Ларионов Д.Н. (211)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Понедельник11.04|||15.30|Экономика предприятий и цифровое производство практика доц. Кабитова Е.В. (204)||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|8.15|Философия лекция доц. Ильин А.Н. (105)|8.15|Иностранный язык практика доц. Мочелевская Е.В. (202)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|9.55|Философия лекция доц. Ильин А.Н. (105)|9.55|Личностное развитие практика ст.пр. Ахтямова З.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|12.10|Физика лекция ст.пр. Шамсутдинов Р.С. (105)||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда13.04|8.15|Личностное развитие практикаст.пр. Ахтямова З.А. (105)|||||15.30|
Среда13.04|9.55|Математика практика доц. Батурина Р.В. (105)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)|17.05|ЭКЗАМЕН Обработка на станках с числовым программным управлением ст.пр. Ахмадиев А.И. (210)
