0|1|2|3|4|5|6
Днинедели|гр. 24105направление 20.03.01|гр. 24105направление 20.03.01|гр. 24205направление 20.03.01|гр. 24205направление 20.03.01|гр. 24305направление 20.03.01|гр. 24305направление 20.03.01
Понедельник11.04||День для консультаций по самостоятельной работе, посещения библиотек||||
Понедельник11.04||День для консультаций по самостоятельной работе, посещения библиотек|12.10|Правоведение лекция доц. Минкин М.Р. (105)|17.30|Пожаровзрывозащита лекцияст.пр. Андреева А.В. (213)
Понедельник11.04||День для консультаций по самостоятельной работе, посещения библиотек|13.50|Правоведение практика доц. Минкин М.Р. (105)|19.00|Пожаровзрывозащита практикаст.пр. Андреева А.В. (213)
Вторник12.04|8.15|Философия лекция доц. Ильин А.Н. (105)||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|9.55|Философия лекция доц. Ильин А.Н. (105)|9.55|Личностное развитие практика ст.пр. Ахтямова З.А. (203)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|12.10|Физика лекция ст.пр. Шамсутдинов Р.С. (105)|12.10|Иностранный язык практика доц. Мочелевская Е.В. (202)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Вторник12.04|||13.50|Экономика предприятий и цифровое производство практика доц. Кабитова Е.В. (204)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Среда13.04|8.15|Личностное развитие практикаст.пр. Ахтямова З.А. (105)|||8.15|Экономика, торговая политика и право ВТО, Таможенного союза и Зоны свободной торговли стран СНГ лекция доц. Зимина Г.А. (311)
Среда13.04|9.55|Математика практика доц. Батурина Р.В. (105)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|9.55|Медицина катастроф с основами физиологии человека лекция доц. Головко М.В. (213)
Среда13.04|||12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.10|Медицина катастроф с основами физиологии человека практика доц. Головко М.В. (213)
Четверг14.04|8.15|Математика лекция доц. Батурина Р.В. (105)|12.10|Электротехническое и конструкционное материаловедение лекция доц. Куртаева Ф.Н. (206)||Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.
Четверг14.04|9.55|Математика практика доц. Батурина Р.В. (105)|13.50|Электротехническое и конструкционное материаловедение лекция доц. Куртаева Ф.Н. (206)|9.00|Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.
Четверг14.04|12.10|Физика лаб.раб. ст.пр. Шамсутдинов Р.С. (105)|15.30|Электротехническое и конструкционное материаловедение практика доц. Куртаева Ф.Н. (206)||Производственная практика - практика по получению профессиональных умений и опыта профессиональной деятельности (Ростехнадзор) доц. Головко М.В.
Пятница15.04|||8.15|Электротехническое и конструкционное материаловедение лекция доц. Куртаева Ф.Н. (206)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница15.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|9.55|Электротехническое и конструкционное материаловедение практика доц. Куртаева Ф.Н. (206)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Пятница15.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота16.04|12.10|Химия лекция доц. Гумеров Т.Ю. (307)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота16.04|13.50|Химия лекция доц. Гумеров Т.Ю. (307)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота16.04|15.30|Химия лаб.раб. доц. Гумеров Т.Ю. (307)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Суббота16.04|17.05|Химия лаб.раб. доц. Гумеров Т.Ю. (307)||День для консультаций по самостоятельной работе, посещения библиотек||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ (проектов)
Воскресенье17.04|||||8.15|Надежность технических систем и техногенный риск лекция доц. Гумеров Т.Ю. (105)
Воскресенье17.04|||||9.55|Надежность технических систем и техногенный риск лекция доц. Гумеров Т.Ю.
Воскресенье17.04|||||12.10|Надежность технических систем и техногенный риск практика доц. Гумеров Т.Ю.
Воскресенье17.04|||||13.50|Надежность технических систем и техногенный риск практика доц. Гумеров Т.Ю.
Воскресенье17.04|||||15.30|Надежность технических систем и техногенный риск практика доц. Гумеров Т.Ю. (105)
