0|1|2|3|4|5|6
Днинедели|гр. 24207направление 38.03.01|гр. 24207направление 38.03.01|гр. 24307направление 38.03.01|гр. 24307направление 38.03.01|гр. 24407направление 38.03.01|гр. 24407направление 38.03.01
Понедельник04.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|8.15|||
Понедельник04.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|9.55||9.55|ЗАЧЕТ Финансы доц. Балова Н.А. (309)
Понедельник04.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|12.10|Управление затратами на предприятии лекция доц. Балова Н.А. (309)||
Понедельник04.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ|13.50|Организация производства лекция доц. Серикова Н.В. (317)||
Вторник05.04|||8.15|Инновационный менеджмент практика доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Вторник05.04|12.10|Управление персоналом лекция доц. Зимина Г.А. (311)|9.55|Планирование на предприятии лекция доц. Серикова Н.В. (317)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Вторник05.04|13.50|Экономика труда лекция доц. Балова Н.А. (309)|12.10|Экономика качества практика доц. Балова Н.А. (309)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда06.04||||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда06.04|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|11.00|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Среда06.04|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Исаев Р.А. (Манеж)|12.30|Физическая культура и спорт практика (элективная дисциплина) ст.пр. Чукашов А.Н. (Манеж)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Четверг07.04|8.15|Экономика природопользования практика доц. Зимина Г.А. (311)|8.15||8.15|
Четверг07.04|9.55|Иностранный язык практика доц. Мочелевская Е.В. (202)|9.55||9.55|
Четверг07.04|12.10||12.10||12.10|ЭКЗАМЕН Управление финансовой деятельностьюдоц. Балова Н.А. (309)
Четверг07.04|13.50||13.50|Методы проведения экономических исследований практикадоц. Кабитова Е.В. (203)|13.50|
Четверг07.04|15.30||15.30|Социально-экономическое прогнозирование практикадоц. Кабитова Е.В. (203)|15.30|
Пятница08.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Пятница08.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Пятница08.04||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Суббота09.04||||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
Суббота09.04|13.50|Тотальный диктант-2022 (206)||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ||День для консультаций по самостоятельной работе, посещения библиотек, выполнения курсовых работ
